Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_S,Projected_S,AbsError_S,Truth_I,Projected_I,AbsError_I
A3,ARX,I,91,12,103,94624.7789663534,95179.0978785027,554.31891214932,671.130974810261,642.686432014263,28.4445427959981
A3,ARX,I,91,13,104,94533.7113419182,95140.4166231246,606.705281206436,671.406362534257,636.660284765491,34.7460777687652
A3,ARX,I,91,14,105,94444.2316294737,95104.3228967454,660.091267271695,670.421552093791,629.479236120601,40.9423159731899
A3,ARX,I,98,1,99,95005.3116507872,95055.5587147613,50.2470639740786,655.671540442828,651.340462808394,4.33107763443434
A3,ARX,I,98,2,100,94907.7887625016,95009.3067608544,101.517998352734,661.814055837754,652.418649950539,9.39540588721491
A3,ARX,I,98,3,101,94811.8241386187,94965.6731804941,153.849041875423,666.407928497021,651.375449084769,15.0324794122527
A3,ARX,I,98,4,102,94717.4794319641,94924.7309729571,207.25154099302,669.492728872792,648.419070379801,21.0736584929901
A3,ARX,I,98,5,103,94624.7789663534,94886.4941755945,261.715209241112,671.130974810261,643.782210133754,27.3487646765069
A3,ARX,I,98,6,104,94533.7113419182,94850.9231014316,317.211759513433,671.406362534257,637.714271097539,33.6920914367181
A3,ARX,I,98,7,105,94444.2316294737,94817.9303009792,373.698671505495,670.421552093791,630.473966964094,39.9475851296964
A3,ARX,I,98,8,106,94356.2639999371,94787.3869055057,431.122905568613,668.295612491843,622.322568049094,45.9730444427497
A3,ARX,I,98,9,107,94269.7046320071,94759.1290643218,489.4244323147,665.161239708565,613.517960342862,51.6432793657031
A3,ARX,I,98,10,108,94184.4247467434,94732.9642551742,548.539508430826,661.161862547412,604.309606369912,56.8522561775003
A3,ARX,I,98,11,109,94100.2736299577,94708.6773182426,608.403688284961,656.448747129018,594.934419342906,61.5143277861117
A3,ARX,I,98,12,110,94017.081520766,94686.0361351258,668.954614359885,651.178201710214,585.613495892132,65.5647058180826
A3,ARX,I,98,13,111,93934.6622654853,94664.7969404646,730.134674979301,645.508970350896,576.549599506533,68.9593708443629
A3,ARX,I,98,14,112,93852.8156585682,94644.7093124338,791.893653865671,639.599887967686,567.925247751199,71.6746402164879
A3,ARX,I,105,1,106,94356.2639999371,94412.2502969179,55.9862969807727,668.295612491843,661.757241779345,6.53837071249893
A3,ARX,I,105,2,107,94269.7046320071,94382.6881791717,112.983547164637,665.161239708565,652.403107900939,12.7581318076255
A3,ARX,I,105,3,108,94184.4247467434,94355.3359744378,170.911227694436,661.161862547412,642.62812705587,18.5337354915421
A3,ARX,I,105,4,109,94100.2736299577,94329.9575633089,229.683933351218,656.448747129018,632.690011155714,23.7587359733038
A3,ARX,I,105,5,110,94017.081520766,94306.2949332,289.213412434023,651.178201710214,622.832504394196,28.3456973160182
A3,ARX,I,105,6,111,93934.6622654853,94284.0724198352,349.410154349942,645.508970350896,613.283652744604,32.2253176062918
A3,ARX,I,105,7,112,93852.8156585682,94263.0002618388,410.184603270609,639.599887967686,604.254917514112,35.3449704535743
A3,ARX,I,105,8,113,93771.329414906,94242.7775077081,471.448092802137,633.607851716204,595.940982606201,37.6668691100026
A3,ARX,I,105,9,114,93689.9807393346,94223.0943477108,533.11360837621,627.686145590293,588.520095230564,39.1660503597291
A3,ARX,I,105,10,115,93608.537478579,94203.6339674106,595.096488831667,621.98313763986,582.154779434435,39.8283582054256
A3,ARX,I,105,11,116,93526.7588575635,94184.074035596,657.315178032499,616.641353123226,576.99276880812,39.6485843151063
A3,ARX,I,105,12,117,93444.3958156766,94164.0879481139,719.692132437223,611.796912840918,573.168017366409,38.6288954745089
A3,ARX,I,105,13,118,93361.1909691924,94143.3459507513,782.154981558851,607.579314233949,570.801664974611,36.7776492593375
A3,ARX,I,105,14,119,93276.8782338114,94121.5162583763,844.638024564847,604.111523742578,570.002855621217,34.108668121361
A3,ARX,I,112,1,113,93771.329414906,93832.2115225459,60.8821076399036,633.607851716204,630.820978928931,2.78687278727261
A3,ARX,I,112,2,114,93689.9807393346,93812.1463712127,122.165631878059,627.686145590293,623.006067042894,4.68007854739938
A3,ARX,I,112,3,115,93608.537478579,93792.2691729656,183.731694386632,621.98313763986,616.339481757254,5.64365588260659
A3,ARX,I,112,4,116,93526.7588575635,93772.214970842,245.456113278502,616.641353123226,610.995850164516,5.64550295870947
A3,ARX,I,112,5,117,93444.3958156766,93751.6031611785,307.207345501854,611.796912840918,607.143236892639,4.65367594827853
A3,ARX,I,112,6,118,93361.1909691924,93730.0348141156,368.843844923191,607.579314233949,604.946747144178,2.63256708977053
A3,ARX,I,112,7,119,93276.8782338114,93707.0889950005,430.210761189068,604.111523742578,604.572575028583,0.461051286004931
A3,ARX,I,112,8,120,93191.1821465627,93682.3180104687,491.135863906064,601.510342390919,606.192515261979,4.68217287106029
A3,ARX,I,112,9,121,93103.8169295873,93655.2414583376,551.4245287503,599.887002410357,609.988996226511,10.1019938161545
A3,ARX,I,112,10,122,93014.4853401452,93625.3389042269,610.853564081684,599.347950643677,616.1607378632,16.8127872195224
A3,ARX,I,112,11,123,92922.8773521057,93592.0409363301,669.163584224327,599.995774106624,624.929191715946,24.9334176093213
A3,ARX,I,112,12,124,92828.668714737,93554.7182572477,726.049542510693,601.930224007948,636.545986977554,34.6157629696053
A3,ARX,I,112,13,125,92731.5194352711,93512.6683497453,781.148914474237,605.249296319233,651.301691982513,46.05239566328
A3,ARX,I,112,14,126,92631.072232917,93465.0990892467,834.026856329772,610.050329238498,669.536314486461,59.4859852479638
A3,ARX,I,119,1,120,93191.1821465627,93256.9461327978,65.7639862351643,601.510342390919,605.717856798203,4.20751440728407
A3,ARX,I,119,2,121,93103.8169295873,93234.6733806299,130.856451042622,599.887002410357,609.485510856837,9.59850844648076
A3,ARX,I,119,3,122,93014.4853401452,93209.5531067405,195.067766595283,599.347950643677,615.603076437206,16.2551257935286
A3,ARX,I,119,4,123,92922.8773521057,93181.037037178,258.159685072271,599.995774106624,624.276108435647,24.2803343290227
A3,ARX,I,119,5,124,92828.668714737,93148.528148921,319.859434183978,601.930224007948,635.73198944829,33.8017654403413
A3,ARX,I,119,6,125,92731.5194352711,93111.3722133033,379.852778032218,605.249296319233,650.225211485185,44.9759151659516
A3,ARX,I,119,7,126,92631.072232917,93068.8479877911,437.775754874165,610.050329238498,668.043252685841,57.9929234473429
A3,ARX,I,119,8,127,92526.9510140318,93020.1556888656,493.204674833862,616.431080245559,689.51332108497,73.0822408394109
A3,ARX,I,119,9,128,92418.7594212755,92964.4031937243,545.643772448777,624.49074759934,715.010375335721,90.5196277363818
A3,ARX,I,119,10,129,92306.079513888,92900.5891498897,594.509636001691,634.330902843696,744.967030529483,110.636127685787
