Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
ARX,I,14,176,176,0.015634453699009,0.015634453699009,0.0015182277061642,0.089614962234281,0.093235562217376,0.093235562217376,0.0207167090599201,0.0207167090599201,0.00230185656221334,0.00259436075141031,0.00580168203819916,0.00493655434718614,0.311079545454545,-0.476420454545455,0.574289772727273,0.0436118697184037
ARX,S,1,176,176,0.000829079104097757,0.000829079104097757,4.39320462286563e-08,0.00840971623198712,0.00842670005120214,0.00842670005120214,0.000829991799080448,0.000829991799080448,9.22213110089387e-05,1.80678698383044e-06,0.000734224950502172,8.2605560281633e-07,0.535511363636364,-0.251988636363636,0.440340909090909,4.65809432973414e-05
ARX,S,2,176,176,0.00171346796587612,0.00171346796587612,2.76264608208473e-07,0.0180398775917246,0.018070369498477,0.018070369498477,0.00171740249771262,0.00171740249771262,0.000190822499745847,1.10019279506214e-05,0.00150681921980173,4.8243183779188e-06,0.490056818181818,-0.297443181818182,0.471164772727273,0.000267915468455499
ARX,S,3,176,176,0.00263179851593922,0.00263179851593922,1.08124422160559e-06,0.0283123758367653,0.0283568266406399,0.0283568266406399,0.00264445396509982,0.00264445396509982,0.000293828218344424,3.77587019226106e-05,0.00228384125024123,1.63703454309596e-05,0.465909090909091,-0.321590909090909,0.486079545454546,0.000880112575764626
ARX,S,4,176,176,0.00353411174810439,0.00353411174810439,3.12053981814016e-06,0.0381383969315205,0.0382047829785272,0.0382047829785272,0.00356711157468376,0.00356711157468376,0.000396345730520418,9.47759852216988e-05,0.00300181707610456,4.11729562577203e-05,0.431818181818182,-0.355681818181818,0.505539772727273,0.00212180591461667
ARX,S,5,176,176,0.00437188077623924,0.00437188077623924,8.47299121254148e-06,0.046529972817845,0.0466379207504507,0.0466379207504507,0.00444037111295831,0.00444037111295831,0.000493374568106479,0.000192924351862231,0.00360591477711133,7.96670791592042e-05,0.40625,-0.38125,0.522159090909091,0.00417281693807267
ARX,S,6,176,176,0.00512395364609269,0.00512395364609269,1.9583317755952e-05,0.0530203226206135,0.0532057774442572,0.0532057774442572,0.00525316813352899,0.00525316813352899,0.000583685348169888,0.000339226362131814,0.00407159939184561,0.000129442543945375,0.383522727272727,-0.403977272727273,0.539630681818182,0.00707725282370273
ARX,S,7,176,176,0.00580974253608323,0.00580974253608323,4.01544407285641e-05,0.0576713894273012,0.0579839113082345,0.0579839113082345,0.00602409689595448,0.00602409689595448,0.000669344099550498,0.000534326953782699,0.00441140267486691,0.000194668807883122,0.366477272727273,-0.421022727272727,0.552414772727273,0.0107342102823036
ARX,S,8,176,176,0.00648553567719437,0.00648553567719437,9.06617760284137e-05,0.0608436132887063,0.0613362091898832,0.0613362091898832,0.0068062114089882,0.0068062114089882,0.0007562457121098,0.000769042553561565,0.004653406516286,0.000306840895237006,0.355113636363636,-0.432386363636364,0.558664772727273,0.0149055374390203
ARX,S,9,176,176,0.00732318684975551,0.00732318684975551,0.00017512321613975,0.0630119982072263,0.0637383689985754,0.0637383689985754,0.00778162468141347,0.00778162468141347,0.000864624964601497,0.0010363424454707,0.00483412826573092,0.000588091173952391,0.339488636363636,-0.448011363636364,0.569034090909091,0.0193340993619816
