na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
13,6,2,0.0066535751496453,2.53310719737691e+37,4.1357123027928e+24+0i,3.33171374398855e+75+0i,8.32928435997137e+74+0i,353
13,4,2,0.00422072166847593,7.44195443921091e+34,3.95544486470797e+75+0i,1.03336256074483e+19+0i,9.88861216176991e+74+0i,354
7,4,6,0.00354310840902103,2.3263141279369e+76,0.0956601231880798+0i,6.76824761463095+0i,5.81578531984225e+75+0i,355
14,7,2,0.00651716111321789,1.43352396100537e+46,2.58721836571907e+49+0i,4.11064842985934e+76+0i,1.02766210746483e+76+0i,356
7,3,6,0.00339356815809174,8.17117864761836e+77,0.0933831158802604+0i,2.25444554447204+0i,2.04279466190459e+77+0i,357
9,5,1,0.00177660348950995,1.8538837209302e+19,1.54530234179441e+78+0i,52147003437848+0i,3.86325585448603e+77+0i,358
11,5,1,0.00154751591529797,4.35436965128172e+70,1.95399755220826e+79+0i,2.72937388214743e+23+0i,4.88499389140658e+78+0i,359
12,3,4,0.00277884262568318,7.70000550381982e+26,2.05048116671923e+80+0i,1.47173541355586e+31+0i,5.12620291679807e+79+0i,360
14,3,6,0.00422437029559063,8.34072741784257e+34,9.43360895373019e+80+0i,7.86533819815035e+69+0i,2.35840223845221e+80+0i,361
13,3,6,0.004063874152693,3.99753044856222e+34,6488949.01433396+0i,9.4118471085359e+81+0i,2.35296177713398e+81+0i,362
8,3,1,0.00382579491274049,8608686953305.43,3.98570204202398e+82+0i,2.68934843636475e+23+0i,9.96425510505994e+81+0i,363
7,3,5,0.00168776077500681,4.72072849209708e+84,0.615470192271417+0i,470.903354120449+0i,1.18018212302427e+84+0i,364
13,3,7,0.00402773720886048,4.42843275792403e+31,53230.7391265482+0i,2.4834442717507e+86+0i,6.20861067937674e+85+0i,365
1,6,1,1.79668934322058e+88,0.0505682540424551,11082.1343196818+0i,0.135985787728457+0i,4.49172335805146e+87+0i,366
11,4,5,0.00149965808774532,2.76200270302523e+70,19215.8476260313+0i,2.16362462505633e+88+0i,5.40906156264081e+87+0i,367
9,4,3,0.00190174248931026,2.57121333669192e+90,0.208326517004199+0i,8.47380734607962e+44+0i,6.42803334172981e+89+0i,368
12,4,5,0.00323749931301269,8.06369912656668e+30,0.352973222833136+0i,6.87482268219217e+91+0i,1.71870567054804e+91+0i,369
6,5,1,0.00285230564818629,3.39970998030094e+17,7.10267834004739e+91+0i,5.07665093723606e+56+0i,1.77566958501185e+91+0i,370
9,4,1,0.00192969203605915,3.8692009042516e+17,9.20036093674039e+92+0i,1994045029.94893+0i,2.3000902341851e+92+0i,371
13,4,5,0.0057296744234923,2.88396252537085e+26,0.881258850958853+0i,2.97701001886656e+93+0i,7.44252504716639e+92+0i,372
9,4,6,0.0018060942798858,6.45129838026417e+93,0.217017630979121+0i,93039588.014849+0i,1.61282459506604e+93+0i,373
12,6,1,0.00333491080810729,6.23570406615873e+36,1.19411884258795e+94+0i,3.60068486199925e+43+0i,2.98529710646987e+93+0i,374
7,4,3,0.00136907338039428,3.28469653000265e+18,0.267743031672298+0i,3.0849511896429e+95+0i,7.71237797410726e+94+0i,375
5,3,3,0.0037608239665358,1.43130300859608e+96,0.457466199311421+0i,24077625.6789949+0i,3.57825752149021e+95+0i,376
5,7,7,0.00249859583507267,4.08446329685025e+97,0.00973568478516148+0i,0.00623299037786659+0i,1.02111582421256e+97+0i,377
14,4,5,0.00438269005097078,7.6076270491771e+35,9.92569366419905e+18+0i,2.14280457062967e+98+0i,5.35701142657418e+97+0i,378
11,7,3,0.00222846708386883,4.75812254457677e+70,1.75911335693224e+80+0i,7.49312692465837e+98+0i,1.87328173116459e+98+0i,379
11,7,5,0.00460469757844806,3.97253769712833e+70,1.09692845968703e+99+0i,7.87678156489362e+65+0i,2.74232114921756e+98+0i,380
11,4,1,0.00159107314174709,3.83301408728259e+70,1.16403005603251e+99+0i,29052241388.3244+0i,2.91007514008127e+98+0i,381
7,3,3,0.00148725918880598,1.8170508133187e+99,0.24519115819441+0i,14155.4185954116+0i,4.54262703329675e+98+0i,382
5,7,3,0.00107961604837419,2.39474571386863e+99,1.34104694060326e+65+0i,4454431033645.84+0i,5.98686428467158e+98+0i,383
5,7,6,0.00502376366184118,1.66904375625248e+100,0.166046746413651+0i,1.12600844635478+0i,4.17260939063119e+99+0i,384
9,3,7,0.00194241239294909,3.41049705518918e+16,3.53030016560594e+102+0i,12.5003324932371+0i,8.82575041401485e+101+0i,385
7,4,1,0.00149982976569804,4.1469195844364e+102,2.78615959314311e+100+0i,3.91651607677962e+25+0i,1.04369529509196e+102+0i,386
0,6,3,2.17211004528543e+71,2.00474592406227e+27,6.4339576693273e+25+0i,1.49866569060171e+103+0i,3.74666422650428e+102+0i,387
14,5,7,0.00458396034190032,9.06762039415341e+43,6.14951736884884e+42+0i,3.06557635750811e+103+0i,7.66394089377026e+102+0i,388
8,5,2,0.00390539276392269,8.18444508456233e+16,3.09986674158702e+104+0i,2.71107322460131e+97+0i,7.74966753173584e+103+0i,389
9,3,6,0.00150127661674439,1.47015633533785e+17,1.24097958370578e+106+0i,13.6444268227994+0i,3.10244895926446e+105+0i,390
7,6,1,0.00138940416785707,1.43954375043195e+71,2.04512667476896e+106+0i,1.24688234484392e+106+0i,8.23002254903222e+105+0i,391
6,7,6,0.0113830766695752,5.80797532659803e+106,0.51869749734744+0i,24526.6874372368+0i,1.45199383164951e+106+0i,392
5,2,3,0.00248572831529716,6.11773319279644e+107,0.109913733598447+0i,0.183901370920061+0i,1.52943329819911e+107+0i,393
4,3,1,0.00206903380132834,0.0469381293446417,7.05076445250863e+110+0i,302827.908646963+0i,1.76269111312716e+110+0i,394
0,4,2,3.74215471433099e+97,5.85988651159838e+15,1.19891600893191e+112+0i,0.143371868406412+0i,2.99729002232979e+111+0i,395
11,7,4,0.0057331448723149,4.35228358320568e+70,3.85504923166645e+113+0i,3.58328742198303e+47+0i,9.63762307916612e+112+0i,396
6,7,7,0.00291005781658193,4.0651136850284e+113,0.0148495574566557+0i,0.00870551800335056+0i,1.0162784212571e+113+0i,397
14,7,4,0.00791231094062311,4.59774169165512e+42,9.60292609276581e+113+0i,1.97954948141674e+61+0i,2.40073152319145e+113+0i,398
10,7,4,0.00677932565366717,9.88601260448629e+24,4.7725805144112e+114+0i,6.49533174620835e+44+0i,1.1931451286028e+114+0i,399
9,3,4,0.00203507134701906,1.91287068345028e+15,1.08618668478438e+115+0i,204.358565071296+0i,2.71546671196094e+114+0i,400
4,6,2,0.00212903772932353,0.0475710974554376,8.73023193241559e+115+0i,1.0195377094525e+32+0i,2.1825579831039e+115+0i,401
5,4,7,0.00125570298746582,1.22824177407229e+116,0.00523782815326217+0i,0.00497785206958228+0i,3.07060443518072e+115+0i,402
4,6,1,0.00208823496573127,0.0473507339009029,7.01038094481747e+78+0i,5.93634903262092e+118+0i,1.48408725815523e+118+0i,403
14,6,2,0.00848326899395494,3.70716690655546e+34,1.45249669890525e+76+0i,1.66222574284455e+119+0i,4.15556435711138e+118+0i,404
5,1,4,2.89106336200517e+70,9.02507667298723e+119,0.00848411317106646+0i,0.00509097565406331+0i,2.25626916824681e+119+0i,405
0,7,2,1.0295635349442,1.6425164253071e+50,1.60822287144694e+121+0i,5.2353661301946+0i,4.02055717861736e+120+0i,406
9,3,3,0.00201642480428839,1.32967442037442e+16,2.42381849564846e+121+0i,1883.95407516791+0i,6.05954623912115e+120+0i,407
4,6,7,0.00235716606726272,2.22713767839394e+122,0.00656288236883898+0i,0.00650924065973245+0i,5.56784419598485e+121+0i,408
7,7,1,0.00137243674236966,8.5944408182532e+22,1.35329360376828e+125+0i,8.65223180415939e+122+0i,3.40486458893111e+124+0i,409
6,3,1,0.00292472667543978,926827729191941,1.3906826756759e+126+0i,243517.045314969+0i,3.47670668918976e+125+0i,410
12,3,3,0.00340756613295939,1.10542937248976e+25,2.30821595210026e+126+0i,1.51437615447063e+25+0i,5.77053988025065e+125+0i,411
2,7,5,0.0272617755310619,0.035535440593428,4.83277323075425e+126+0i,3.13143457684331e+34+0i,1.20819330768856e+126+0i,412
14,5,2,0.00488290694294114,1.15270385196225e+49,9.40735801497535e+126+0i,8.70844444787246e+80+0i,2.35183950374384e+126+0i,413
5,1,1,0.000998410549730758,1.56089448641434e+127,0.00673163014999038+0i,0.00477198461589701+0i,3.90223621603584e+126+0i,414
2,7,1,1.13633529044525e+130,0.0348137248951261,1.52009300750915e+81+0i,0.101720687549108+0i,2.84083822611312e+129+0i,415
9,4,4,0.00205985694016745,2.75509384812473e+130,0.227284643956455+0i,9.28349670093995e+85+0i,6.88773462031181e+129+0i,416
5,2,2,0.00249815291644896,7.36453609783859e+130,0.0760774107585045+0i,0.105538324184577+0i,1.84113402445965e+130+0i,417
9,3,2,0.00191456232140508,9.91446642324658e+15,3.05252244971772e+131+0i,2.9311177125812+0i,7.6313061242943e+130+0i,418
0,4,1,2.87163214869165e+23,0.104404441237385,2.0737650415995e+26+0i,4.48140185099791e+131+0i,1.12035046274948e+131+0i,419
6,3,3,0.00309042872819967,844913305498560,2.03702230206146e+133+0i,1.33061527680715e+22+0i,5.09255575515366e+132+0i,420
14,7,5,0.00447487789368657,3.02945552450981e+46,4.75378982787192e+135+0i,2.54451926891725e+60+0i,1.18844745696798e+135+0i,421
13,6,3,0.00636831724697119,2.34606315953116e+37,0.160300638966827+0i,8.28884560923592e+135+0i,2.07221140230898e+135+0i,422
13,3,2,0.00419678862801001,1.25350890616756e+36,3.33584558624866e+136+0i,3.5954484806673e+35+0i,8.33961396562165e+135+0i,423
11,4,6,0.00155262631196902,2.53253195122231e+70,5.89607491233588+0i,1.75177761718804e+137+0i,4.3794440429701e+136+0i,424
7,5,3,0.00150947887817448,9.53876367632202e+19,4.15122416072891e+139+0i,115.042582566444+0i,1.03780604018223e+139+0i,425
7,6,2,0.0015542024546542,2.79507258623364e+21,4.49102720657358e+139+0i,3.814841647747e+86+0i,1.1227568016434e+139+0i,426
4,7,3,0.00220140737437718,0.0479971403377212,9.6997298669588e+139+0i,3.04469045126519e+59+0i,2.4249324667397e+139+0i,427
13,7,2,0.00499926043910642,3.35021732583908e+35,2.73926015682597e+67+0i,8.8422377932379e+140+0i,2.21055944830947e+140+0i,428
14,6,6,0.00440767412608305,2.87855410066423e+43,4.07176181939332e+141+0i,427023646268755+0i,1.01794045484833e+141+0i,429
13,5,2,0.0045023577715363,5.802138785398e+31,1.20057787483103e+142+0i,1.80738617222845e+62+0i,3.00144468707758e+141+0i,430
4,7,5,0.00202569195917822,5.15757685247258e+116,1.86648834611394e+142+0i,49952077.5845766+0i,4.66622086528486e+141+0i,431
3,5,2,0.00357567735199599,3.71551852020357e+50,4.43134243897902e+58+0i,3.59481817426665e+142+0i,8.98704543566663e+141+0i,432
12,5,1,0.00323663410253067,1.93936814519347e+32,6.27075283415504e+143+0i,4.3673053634708e+20+0i,1.56768820853876e+143+0i,433
9,4,5,0.00250210262914688,9.06117760696897e+17,0.225515802130293+0i,1.44030090194637e+144+0i,3.60075225486593e+143+0i,434
11,3,7,0.00153264088804804,2.07628326610455e+70,4.04701289972694e+144+0i,1.36780967382436e+39+0i,1.01175322493174e+144+0i,435
13,7,1,0.00450263025177818,1.25516932624808e+41,4.10663335056891e+144+0i,4.069502519011e+111+0i,1.02665833764223e+144+0i,436
5,4,6,0.00119955633104813,4.59486888256071e+144,0.00533768230463655+0i,0.00504006599351444+0i,1.14871722064018e+144+0i,437
9,1,6,0.00179442438018362,5.07276684253081e+144,0.0123416316805665+0i,0.00960998514219132+0i,1.2681917106327e+144+0i,438
9,7,7,0.00219600836325755,2.44461983989077e+22,0.266383875709302+0i,8.49176380046177e+144+0i,2.12294095011544e+144+0i,439
7,3,1,0.00152925645650627,2.110300662878e+17,3.76508314783851e+145+0i,1050925129.60652+0i,9.41270786959627e+144+0i,440
6,7,3,0.00302238887347048,2.55633696398435e+99,2.00986232835322e+146+0i,8.3942239000066e+79+0i,5.02465582088305e+145+0i,441
10,4,2,0.00178811254392583,3.36915202453601e+17,2.63547728231746e+146+0i,0.577345462758634+0i,6.58869320579366e+145+0i,442
5,2,4,0.00196237249364338,3.39758450491715e+146,0.134700676470638+0i,0.360547791064436+0i,8.49396126229289e+145+0i,443
14,6,5,0.00453129718500473,7.42627802237283e+41,6.7954840862946e+146+0i,4.98867645049885e+43+0i,1.69887102157365e+146+0i,444
10,6,3,0.00428903180522819,6.93586346957468e+22,1.26049268125451e+54+0i,1.73392549106362e+147+0i,4.33481372765906e+146+0i,445
11,6,3,0.00287187788331406,4.19090280208017e+70,0.160170679080962+0i,5.43049225140794e+148+0i,1.35762306285199e+148+0i,446
13,3,1,0.00565769709653292,5.28838150581543e+31,1.19745215851154e+152+0i,5.34935156023376e+39+0i,2.99363039627885e+151+0i,447
13,4,6,0.00413061153417597,1.23540550549794e+30,41.2082218214819+0i,9.09302312598814e+152+0i,2.27325578149703e+152+0i,448
3,4,7,0.00129385129045831,2.13743263011629e+153,0.00585714934464449+0i,0.00585955043790606+0i,5.34358157529072e+152+0i,449
11,3,6,0.00154581881069674,2.26382117498352e+70,9.80864854963546e+153+0i,2.35971152223762e+37+0i,2.45216213740887e+153+0i,450
