StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,8,27,27,0.114760358149693,0.114760358149693,0.0435017589368053,0.245104767305533,0.343245782435395,0.343245782435395,0.163646446328885,0.163646446328885,0.0181829384809872,0.0333852175030077,0.0235331099101841,0.0396590922555145,0.814814814814815,0.0273148148148148,0.273611111111111,0.537882704443426
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,9,27,27,0.09111478773074,0.09111478773074,0.0408144071189211,0.166324935417126,0.273610748791075,0.273610748791075,0.135758131608789,0.135758131608789,0.015084236845421,0.0343166805363351,0.0217462794497065,0.0199675908992774,0.861111111111111,0.073611111111111,0.271759259259259,0.554793976751592
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,10,27,27,0.0774106882571756,0.0774106882571756,0.0415216204820727,0.118713023667914,0.222256944884148,0.222256944884148,0.124351489673195,0.124351489673195,0.0138168321859105,0.0350623504836107,0.0184414447617579,0.0100900608258964,0.861111111111111,0.073611111111111,0.270833333333333,0.567631992818111
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,11,27,27,0.0743549637534413,0.0743549637534413,0.0426844500484142,0.103532030917034,0.203471711937312,0.203471711937312,0.121156260383841,0.121156260383841,0.0134618067093157,0.0354982607872098,0.016488131582782,0.00890676467413389,0.833333333333333,0.0458333333333333,0.266203703703704,0.572759402838741
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,12,27,27,0.0736128252679247,0.0736128252679247,0.0445155048901883,0.0919865735902136,0.18941691943088,0.18941691943088,0.119988057950332,0.119988057950332,0.0133320064389258,0.0358774057634054,0.0146061657947858,0.0097972472708077,0.833333333333333,0.0458333333333333,0.271759259259259,0.581004837004687
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,13,27,27,0.151019399379911,0.151019399379911,0.0496006992645908,0.29004520921447,0.409505341446824,0.409505341446824,0.225426771172015,0.225426771172015,0.0250474190191127,0.036429010968537,0.0286210799062571,0.0609218894860042,0.740740740740741,-0.0467592592592593,0.321759259259259,0.590465563242996
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,14,27,27,0.142025399969967,0.142025399969967,0.0478948572615582,0.280159969916642,0.388035865679625,0.388035865679625,0.211028758266434,0.211028758266434,0.0234476398073816,0.0363660407146946,0.024954144691304,0.0572575747565863,0.740740740740741,-0.0467592592592593,0.314351851851852,0.600775058251858
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,1,27,27,0.0109074369357674,0.0109074369357674,0.00889037255122607,0.00905980839393487,0.0306066612676481,0.0306066612676481,0.0174094890515765,0.0174094890515765,0.00193438767239739,0.00813725852085498,0.000751608229468556,8.41825130464876e-05,0.935185185185185,0.147685185185185,0.218055555555556,0.143843208343682
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,2,27,27,0.0209312234408271,0.0209312234408271,0.0161867535105846,0.0190721428574854,0.0582820895766932,0.0582820895766932,0.0338742273031541,0.0338742273031541,0.00376380303368379,0.0144497322268995,0.00231737548368153,0.000400312696562315,0.935185185185185,0.147685185185185,0.225462962962963,0.240395053350502
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,3,27,27,0.0437798705771211,0.0437798705771211,0.0230123454635137,0.0826229477280247,0.14190371125251,0.14190371125251,0.0692384720461576,0.0692384720461576,0.00769316356068417,0.0194742144849461,0.0126658565163583,0.00394663601513253,0.842592592592593,0.0550925925925925,0.263425925925926,0.316457872197559
