Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",8,"08-Jan-2021",1.34114446715532,1.15214388123457,-0.189000585920757,0.189000585920757,0.0357212214783896,0.161730342097184,1,2.1288930467506
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",9,"09-Jan-2021",1.03463218093139,1.05516125065566,0.0205290697242622,0.0205290697242622,0.000421442703743617,0.103748889360098,1,1.60361840324467
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",10,"10-Jan-2021",0.830452383758157,0.938075109308951,0.107622725550794,0.107622725550794,0.0115826510549816,0.0893747226488319,1,1.34664528447012
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",11,"11-Jan-2021",0.400951392842372,0.866354640824445,0.465403247982073,0.465403247982073,0.216600183232263,0.214257366172315,0.5,1.37330206662512
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",12,"12-Jan-2021",0.828954850296998,0.982956224941296,0.154001374644298,0.154001374644298,0.0237164233923334,0.0899693330137181,1,1.17051529522177
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",13,"13-Jan-2021",1.01799202401632,1.07719526843255,0.0592032444162309,0.0592032444162309,0.00350502414940798,0.0932592254097017,1,1.39151326595981
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",14,"14-Jan-2021",1.32390131291701,1.11703954260877,-0.206861770308236,0.206861770308236,0.0427917920150576,0.105730922616048,1,1.21646257259445
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",1,"08-Jan-2021",1.34114446715532,1.01766352309594,-0.323480944059381,0.323480944059381,0.104639921169548,0.12083393329428,0.75,0.863054586835773
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",2,"09-Jan-2021",1.03463218093139,1.00300314068674,-0.0316290402446526,0.0316290402446526,0.00100039618679786,0.0825424577354711,1,1.15354323713807
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",3,"10-Jan-2021",0.830452383758157,0.891038126243839,0.0605857424856819,0.0605857424856819,0.00367063219254137,0.0830347925049938,1,1.08764149900778
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",4,"11-Jan-2021",0.400951392842372,0.99016692513908,0.589215532296708,0.589215532296708,0.347174943499693,0.218858379060781,0.75,1.46900562547154
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",5,"12-Jan-2021",0.828954850296998,0.994927422901303,0.165972572604305,0.165972572604305,0.0275468948568914,0.118543522153876,1,1.40516271203505
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",6,"13-Jan-2021",1.01799202401632,1.02000471953229,0.00201269551597294,0.00201269551597294,4.05094324001758e-06,0.0871037720219647,1,1.21244684418571
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",7,"14-Jan-2021",1.32390131291701,1.03558221173842,-0.288319101178589,0.288319101178589,0.0831279041044296,0.137243462262992,0.75,1.49682232450349
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",8,"15-Jan-2021",0.960229640450424,0.926909891066586,-0.0333197493838384,0.0333197493838384,0.0011102056990018,0.0874210969644785,1,1.30567947586056
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",9,"16-Jan-2021",0.834075742707592,1.00802295970205,0.173947216994457,0.173947216994457,0.0302576343001167,0.110318189652077,1,1.50264998909676
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",10,"17-Jan-2021",0.426410721510203,1.03582422000722,0.609413498497019,0.609413498497019,0.371384812150376,0.241807082737379,0.5,1.56580420812188
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",11,"18-Jan-2021",0.254907551360874,0.993614084024159,0.738706532663286,0.738706532663286,0.545687341399414,0.346295789780952,0.5,1.67409871251793
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",12,"19-Jan-2021",0.470996552827041,1.0741256109487,0.603129058121657,0.603129058121657,0.363764660750717,0.23115579455535,0.5,1.54673857196424
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",13,"20-Jan-2021",1.20488358595562,0.897202795839086,-0.307680790116529,0.307680790116529,0.0946674686067315,0.12445631195614,1,1.39564237598368
"ARX","I","partA_online_fit","[4 1 1]",2,"07-Jan-2021",14,"21-Jan-2021",1.40229463158572,0.970217038984627,-0.432077592601089,0.432077592601089,0.186691046027953,0.168838299957052,1,1.97160839120714
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",1,"15-Jan-2021",0.960229640450424,1.17148837393276,0.211258733482333,0.211258733482333,0.0446302524725595,0.118746322254201,1,1.33078733668515
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",2,"16-Jan-2021",0.834075742707592,1.06826444697705,0.234188704269457,0.234188704269457,0.0548443492074071,0.125014952176928,1,1.48971510674806
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",3,"17-Jan-2021",0.426410721510203,0.923651839949534,0.497241118439331,0.497241118439331,0.247248729866797,0.194144446869303,0.75,1.36726618912012
