date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2021-09-02,550,1103,953.571428571429,958.167431351028,0.99520334063837,0.99520334063837,0.99520334063837
2021-09-03,551,1426,975.857142857143,972.700145099482,1.00324560222754,1.00324560222754,1.00324560222754
2021-09-04,552,1322,1033.85714285714,983.737216226421,1.05094849092218,1.05094849092218,1.05094849092218
2021-09-05,553,1,1033.57142857143,987.073628550135,1.04710671896846,1.04710671896846,1.04710671896846
2021-09-06,554,10,1034.28571428571,988.937616750537,1.04585536718098,1.04585536718098,1.04585536718098
2021-09-07,555,2180,1009.14285714286,995.19797726096,1.01401216662465,1.01401216662465,1.01401216662465
2021-09-08,556,1399,1063,1004.84818698354,1.05787124241228,1.05787124241228,1.05787124241228
2021-09-09,557,1397,1105,1013.40501233116,1.09038339711597,1.09038339711597,1.09038339711597
2021-09-10,558,1481,1112.85714285714,1021.02679849304,1.08993921070401,1.08993921070401,1.08993921070401
2021-09-11,559,1515,1140.42857142857,1032.63098418804,1.10439119965521,1.10439119965521,1.10439119965521
2021-09-12,560,2,1140.57142857143,1049.8322455445,1.08643207846971,1.08643207846971,1.08643207846971
2021-09-13,561,1,1139.28571428571,1070.52293116315,1.06423289134765,1.06423289134765,1.06423289134765
2021-09-14,562,2138,1133.28571428571,1091.36775107708,1.03840865113274,1.03840865113274,1.03840865113274
2021-09-15,563,1114,1092.57142857143,1108.97391382776,0.985209313716208,0.985209313716208,0.985209313716208
2021-09-16,564,1185,1062.28571428571,1121.07607149876,0.947558993802758,0.947558993802758,0.947558993802758
2021-09-17,565,996,993,1125.24747217341,0.882472544534604,0.882472544534604,0.882472544534604
2021-09-18,566,833,895.571428571429,1119.45453815704,0.800006965933437,0.800006965933437,0.800006965933437
2021-09-19,567,1,895.428571428571,1101.77271707367,0.812716232261448,0.812716232261448,0.812716232261448
2021-09-20,568,0,895.285714285714,1069.64202576957,0.836995642202436,0.836995642202436,0.836995642202436
2021-09-21,569,1179,758.285714285714,1026.95814374783,0.738380350652255,0.738380350652255,0.738380350652255
2021-09-22,570,891,726.428571428571,983.321508069435,0.738749804074535,0.738749804074535,0.738749804074535
2021-09-23,571,744,663.428571428571,939.229118996146,0.706354347422328,0.706354347422328,0.706354347422328
2021-09-24,572,771,631.285714285714,890.387839099635,0.709000827014971,0.709000827014971,0.709000827014971
2021-09-25,573,718,614.857142857143,836.964440193802,0.734627558029551,0.734627558029551,0.734627558029551
2021-09-26,574,1,614.857142857143,782.489813312431,0.785770156232876,0.785770156232876,0.785770156232876
