Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
A1,N4SID,None,350,351,12,362,0.990708459899814,0.990619705237969,-8.87546618447699e-05,8.87546618447699e-05,7.87738999917945e-09,5.37275846124335e-05,0,9.86034960823723e-05
A1,N4SID,None,350,351,13,363,0.993804109907906,0.993690854023352,-0.000113255884553687,0.000113255884553687,1.2826895386038e-08,6.95362243572917e-05,0,0.000118890339928401
A1,N4SID,None,350,351,14,364,0.99690159589195,0.996763098615256,-0.000138497276693572,0.000138497276693572,1.91814956515359e-08,8.78613919446041e-05,0,0.00014101889598539
A1,N4SID,S,49,50,1,50,1.13649504552614,1.13649255665722,-2.48886891829336e-06,2.48886891829336e-06,6.19446849244678e-12,8.5767701823262e-07,0.75,4.50575887644966e-06
A1,N4SID,S,49,50,2,51,1.13849466883911,1.13848908737646,-5.58146264451054e-06,5.58146264451054e-06,3.11527252520666e-11,2.39743220935192e-06,0,7.58146302359819e-06
A1,N4SID,S,49,50,3,52,1.14045325319274,1.14044199813393,-1.12550588096116e-05,1.12550588096116e-05,1.26676348807817e-10,6.75130494297571e-06,0,1.0575846861538e-05
A1,N4SID,S,49,50,4,53,1.14237021821622,1.14235268240149,-1.75358147256333e-05,1.75358147256333e-05,3.07504798091736e-10,1.17985799876405e-05,0,1.50290695651312e-05
A1,N4SID,S,49,50,5,54,1.14424499587144,1.14421649751867,-2.84983527680804e-05,2.84983527680804e-05,8.12156110493958e-10,1.99942199342742e-05,0,1.89092265123758e-05
A1,N4SID,S,49,50,6,55,1.14607703062133,1.14603586707227,-4.11635490595863e-05,4.11635490595863e-05,1.69443777118097e-09,2.97605154644856e-05,0,2.45577687124077e-05
A1,N4SID,S,49,50,7,56,1.14786577959443,1.14781050707574,-5.52725186944159e-05,5.52725186944159e-05,3.05505132282455e-09,4.1988915802349e-05,0,2.99776310200839e-05
A1,N4SID,S,49,50,8,57,1.14961071274585,1.14953664317646,-7.40695693810522e-05,7.40695693810522e-05,5.48630110829451e-09,5.82445807404112e-05,0,3.50094913441623e-05
A1,N4SID,S,49,50,9,58,1.15131131301421,1.15121387434555,-9.74386686558582e-05,9.74386686558582e-05,9.49429414942611e-09,7.74934145517091e-05,0,4.09275231813e-05
A1,N4SID,S,49,50,10,59,1.15296707647496,1.15284347306898,-0.000123603405973061,0.000123603405973061,1.52778019681412e-08,0.000100136332443855,0,4.72169040635628e-05
A1,N4SID,S,49,50,11,60,1.15457751248964,1.1544244387607,-0.000153073728948128,0.000153073728948128,2.34315664940849e-08,0.000126906246718334,0,5.40913880488492e-05
A1,N4SID,S,49,50,12,61,1.15614214385133,1.15595608878951,-0.000186055061821344,0.000186055061821344,3.46164860293442e-08,0.000158138422946709,0,6.16096186697446e-05
A1,N4SID,S,49,50,13,62,1.15766050692596,1.15743363841726,-0.000226868508706568,0.000226868508706568,5.14693202427421e-08,0.000194250648714921,0,7.02709764994203e-05
A1,N4SID,S,49,50,14,63,1.15913215178981,1.15885936220833,-0.000272789581478028,0.000272789581478028,7.44141557629576e-08,0.000235985509440179,0,7.91798219736961e-05
A1,N4SID,S,56,57,1,57,1.14961071274585,1.14960752653183,-3.18621401529384e-06,3.18621401529384e-06,1.01519597512549e-11,1.08469374522234e-06,0.75,5.21713294537873e-06
A1,N4SID,S,56,57,2,58,1.15131131301421,1.15130460303899,-6.70997521678984e-06,6.70997521678984e-06,4.50237674099339e-11,2.77767042890077e-06,0,9.16484827434561e-06
A1,N4SID,S,56,57,3,59,1.15296707647496,1.15295487906378,-1.21974111744194e-05,1.21974111744194e-05,1.48776839357852e-10,7.47710245560344e-06,0,1.19971924681939e-05
A1,N4SID,S,56,57,4,60,1.15457751248964,1.15455672460455,-2.0787885095741e-05,2.0787885095741e-05,4.32136166753732e-10,1.38317335223194e-05,0,1.70651114499987e-05
A1,N4SID,S,56,57,5,61,1.15614214385133,1.15611022923708,-3.19146142511162e-05,3.19146142511162e-05,1.01854260279755e-09,2.1276563309479e-05,0,2.37434155987426e-05
A1,N4SID,S,56,57,6,62,1.15766050692596,1.15761654699631,-4.39599296533366e-05,4.39599296533366e-05,1.9324754151263e-09,3.21356748696871e-05,0,2.96778096960937e-05
A1,N4SID,S,56,57,7,63,1.15913215178981,1.15907104277853,-6.11090112709878e-05,6.11090112709878e-05,3.73431125851771e-09,4.49802445728133e-05,0,3.86419554117556e-05
A1,N4SID,S,56,57,8,64,1.16055664236272,1.16047457349955,-8.20688631728572e-05,8.20688631728572e-05,6.73529830248516e-09,6.24948634874179e-05,0,4.62230845469369e-05
A1,N4SID,S,56,57,9,65,1.1619335565374,1.16182682838422,-0.000106728153188351,0.000106728153188351,1.13908986829962e-08,8.2346526867595e-05,0,5.56363962669892e-05
A1,N4SID,S,56,57,10,66,1.16326248630447,1.16312903660431,-0.000133449700159494,0.000133449700159494,1.78088224726588e-08,0.000106865143602154,0,6.49020078130613e-05
A1,N4SID,S,56,57,11,67,1.16454303787336,1.16437620775264,-0.000166830120721606,0.000166830120721606,2.78322891799857e-08,0.000136206391626812,0,7.41440759156053e-05
A1,N4SID,S,56,57,12,68,1.16577483178899,1.16557191653165,-0.000202915257339509,0.000202915257339509,4.11746016611591e-08,0.000169647970299745,0,8.2970180585118e-05
A1,N4SID,S,56,57,13,69,1.16695750304426,1.16671394086218,-0.000243562182070445,0.000243562182070445,5.93225365349165e-08,0.000208569501197526,0,9.20852529564531e-05
A1,N4SID,S,56,57,14,70,1.16809070118813,1.16779896986931,-0.000291731318812438,0.000291731318812438,8.51071623760444e-08,0.000252928678011619,0,0.00010139270206927
A1,N4SID,S,63,64,1,64,1.16055664236272,1.16055242190002,-4.2204627002107e-06,4.2204627002107e-06,1.78123054038698e-11,1.40273822061153e-06,0.5,5.08473183469249e-06
A1,N4SID,S,63,64,2,65,1.1619335565374,1.16192406306673,-9.49347066980799e-06,9.49347066980799e-06,9.01259853585046e-11,5.129724005125e-06,0,8.63848539123246e-06
A1,N4SID,S,63,64,3,66,1.16326248630447,1.16324613581029,-1.635049418236e-05,1.635049418236e-05,2.67338660007388e-10,1.0743738663705e-05,0,1.28079174982476e-05
A1,N4SID,S,63,64,4,67,1.16454303787336,1.16451664671112,-2.63911622377933e-05,2.63911622377933e-05,6.96493444261525e-10,1.92358802257788e-05,0,1.71420178067816e-05
A1,N4SID,S,63,64,5,68,1.16577483178899,1.16573579742226,-3.9034366732027e-05,3.9034366732027e-05,1.52368178617037e-09,2.93558943501791e-05,0,2.34511828794415e-05
A1,N4SID,S,63,64,6,69,1.16695750304426,1.16690264183464,-5.48612096142875e-05,5.48612096142875e-05,3.00975232034279e-09,4.42548467062512e-05,0,2.74628817218958e-05
A1,N4SID,S,63,64,7,70,1.16809070118813,1.16801679148394,-7.39097041861925e-05,7.39097041861925e-05,5.46264437289048e-09,6.12965769760517e-05,0,3.28436975465807e-05
A1,N4SID,S,63,64,8,71,1.16917409042954,1.16907878565972,-9.53047698200038e-05,9.53047698200038e-05,9.08299915044391e-09,8.26830481923718e-05,0,3.61049613237241e-05
A1,N4SID,S,63,64,9,72,1.17020734973689,1.17008530612998,-0.000122043606909816,0.000122043606909816,1.48946419875578e-08,0.000107867981862514,0,4.21800828893093e-05
A1,N4SID,S,63,64,10,73,1.17119017293313,1.1710376805877,-0.000152492345432131,0.000152492345432131,2.32539154153925e-08,0.000136319747516561,0,4.94365160512156e-05
A1,N4SID,S,63,64,11,74,1.17212226878654,1.17193416748857,-0.00018810129797453,0.00018810129797453,3.53820982997029e-08,0.00016880024487303,0,5.73000905862986e-05
A1,N4SID,S,63,64,12,75,1.17300336109701,1.17277344424468,-0.000229916852330536,0.000229916852330536,5.28617589855816e-08,0.000206510461538699,0,6.44189788135408e-05
A1,N4SID,S,63,64,13,76,1.17383318877787,1.17355824846686,-0.000274940311010496,0.000274940311010496,7.55921746185485e-08,0.000249003435830318,0,7.2864382239024e-05
A1,N4SID,S,63,64,14,77,1.17461150593327,1.17428472005016,-0.000326785883107306,0.000326785883107306,1.06789013398222e-07,0.000298113254809863,0,8.08083310990249e-05
A1,N4SID,S,70,71,1,71,1.16917409042954,1.16916960928286,-4.48114668438748e-06,4.48114668438748e-06,2.00806756069969e-11,1.38381385213185e-06,0.75,5.58916657106279e-06
A1,N4SID,S,70,71,2,72,1.17020734973689,1.17019719942104,-1.01503158476124e-05,1.01503158476124e-05,1.03028911806291e-10,4.65709469644748e-06,0,9.98366810567308e-06
A1,N4SID,S,70,71,3,73,1.17119017293313,1.17117170513426,-1.84677988639415e-05,1.84677988639415e-05,3.41059594878997e-10,1.09551629658989e-05,0,1.44250633585807e-05
A1,N4SID,S,70,71,4,74,1.17212226878654,1.17209444616542,-2.78226211192223e-05,2.78226211192223e-05,7.74098245943794e-10,1.93127519181867e-05,0,1.90536218392934e-05
A1,N4SID,S,70,71,5,75,1.17300336109701,1.17296228953983,-4.10715571841358e-05,4.10715571841358e-05,1.68687280952974e-09,3.0548736840678e-05,0,2.46675194172097e-05
A1,N4SID,S,70,71,6,76,1.17383318877787,1.17377642957556,-5.67592023137387e-05,5.67592023137387e-05,3.22160704729192e-09,4.36001886100786e-05,0,3.26609305477676e-05
A1,N4SID,S,70,71,7,77,1.17461150593327,1.17453445383873,-7.70520945447828e-05,7.70520945447828e-05,5.93702527373815e-09,5.98605833432421e-05,0,3.97373856554362e-05
A1,N4SID,S,70,71,8,78,1.17533808193104,1.17523664521066,-0.00010143672037799,0.00010143672037799,1.02894082410425e-08,7.93173560787835e-05,0,4.78037712869361e-05
A1,N4SID,S,70,71,9,79,1.17601270147102,1.17588211133363,-0.000130590137384701,0.000130590137384701,1.7053783982155e-08,0.000103962908117738,0,5.61359478171708e-05
A1,N4SID,S,70,71,10,80,1.17663516464889,1.1764724850201,-0.000162679628791906,0.000162679628791906,2.64646616238724e-08,0.000132813771712101,0,6.35479219847079e-05
A1,N4SID,S,70,71,11,81,1.17720528701538,1.17700776187554,-0.000197525139839616,0.000197525139839616,3.90161808686599e-08,0.000165378807384311,0,7.23640102627821e-05
A1,N4SID,S,70,71,12,82,1.17772289963092,1.17748655111489,-0.000236348516025942,0.000236348516025942,5.58606210276647e-08,0.000204455436219538,0,7.79316530678531e-05
A1,N4SID,S,70,71,13,83,1.17818784911572,1.17790462178468,-0.000283227331048019,0.000283227331048019,8.02177210525843e-08,0.000247511278275021,0,8.64499758723158e-05
A1,N4SID,S,70,71,14,84,1.17859999769523,1.17826569490779,-0.000334302787441398,0.000334302787441398,1.11758353691089e-07,0.000297307914412697,0,9.27693967145982e-05
