Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,WindowWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,AICC
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,182,183,0.00300200328433975,0.00883277781970202,0.00726640639394477,0.00363320319697238,0.00890494789420814,0.000970863688348335,0,0.785714285714286,-0.00178571428571429,0.2125,0.0308879576313841,-1890.04874526199
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,189,190,0.00444704551995402,0.0133633379125617,0.0103732275836452,0.00518661379182261,0.0085824757821546,0.00624261526581588,0,0.642857142857143,-0.144642857142857,0.276785714285714,0.0303132402834283,-1969.30752050908
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,196,197,0.00369603839325968,0.010284250653415,0.0081133556068577,0.00405667780342885,0.00753311040183272,0.00504238456440698,0,0.625,-0.1625,0.3,0.0281758619297479,-2048.83662396745
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,203,204,0.00377879652204826,0.0111953426703356,0.00859165640851353,0.00429582820425676,0.00859434398168104,0.00411441216327937,0,0.732142857142857,-0.0553571428571428,0.223214285714286,0.0294776161489503,-2128.6253951101
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,210,211,0.00311979579998549,0.0104855711301312,0.00804504827596119,0.00402252413798059,0.00639145048585605,0.00362510647609806,0,0.696428571428571,-0.0910714285714286,0.248214285714286,0.0234626137261277,-2208.66400848366
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,217,218,0.00336682970787971,0.0102730261796493,0.00777364397650542,0.00388682198825271,0.00811107641541099,0.00315283528179501,0,0.732142857142857,-0.0553571428571428,0.223214285714286,0.0289063877688237,-2288.94338216933
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,224,225,0.00271791023937697,0.00715912903786823,0.00560936311500524,0.00280468155750262,0.00695990136806708,0.00246601315162666,0,0.714285714285714,-0.0732142857142857,0.2375,0.0258029625589681,-2369.45509771781
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,231,232,0.00274226762498227,0.00922401672402893,0.0069536111669799,0.00347680558348995,0.00848966104214141,0.000373737686788849,0,0.821428571428571,0.0339285714285714,0.223214285714286,0.0293982196133396,-2450.19133023173
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,238,239,0.00211062118218794,0.00626033876378768,0.00494779063435945,0.00247389531717972,0.00649144679203117,0.000532453210634823,0,0.75,-0.0375,0.2125,0.0233348687182825,-2531.14478732576
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,245,246,0.00262321574150371,0.0072047509933808,0.0055111631650848,0.0027555815825424,0.00799461686093732,0.00105427239328699,0,0.75,-0.0375,0.248214285714286,0.0279762907815483,-2612.30865579665
