Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,6,76,1.17383318877787,1.17384664311091,1.3454333033458e-05,1.81019077375199e-10,1.3454333033458e-05,1.12941142007007e-05,6.727166516729e-06,1.4188123133918e-06,4.26775350730324e-05,0,0,-0.7875,0.7875,4.63710834502917e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,7,77,1.17461150593327,1.1746301632814,1.86573481304464e-05,3.48096639260672e-10,1.86573481304464e-05,1.61067244409847e-05,9.3286740652232e-06,1.7780245350707e-06,6.13735613841371e-05,0,0,-0.7875,0.7875,5.77751508679114e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,8,78,1.17533808193104,1.17536303010377,2.49481727296885e-05,6.22411322550374e-10,2.49481727296885e-05,2.20494051609017e-05,1.24740863648443e-05,2.17830811615194e-06,8.45699287430612e-05,0,0,-0.7875,0.7875,7.05037964904287e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,9,79,1.17601270147102,1.17604550395257,3.28024815550165e-05,1.0760027961672e-09,3.28024815550165e-05,2.93223271585442e-05,1.64012407775083e-05,2.65256356809518e-06,0.000112896667867846,0,0,-0.7875,0.7875,8.53612313567176e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,10,80,1.17663516464889,1.17667714151316,4.19768642685447e-05,1.76205713381983e-09,4.19768642685447e-05,3.79200679731345e-05,2.09884321342724e-05,3.1038861755317e-06,0.000146547987569301,0,0,-0.7875,0.7875,9.96967280697536e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,11,81,1.17720528701538,1.17725788035986,5.2593344483931e-05,2.76605988400544e-09,5.2593344483931e-05,4.79897206010432e-05,2.62966722419655e-05,3.52454355459497e-06,0.000186132526908134,0,0,-0.7875,0.7875,1.13441550559923e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,12,82,1.17772289963092,1.17778770856725,6.48089363362025e-05,4.20019822902995e-09,6.48089363362025e-05,5.96022071507662e-05,3.24044681681013e-05,4.06095341441426e-06,0.000231744510595933,0,0,-0.7875,0.7875,1.30123755739397e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,13,83,1.17818784911572,1.17826654976902,7.87006532998458e-05,6.19379282982252e-09,7.87006532998458e-05,7.29653797905547e-05,3.93503266499229e-05,4.62050418950088e-06,0.000284373378218072,0,0,-0.7875,0.7875,1.48975532409112e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,14,84,1.17859999769523,1.17869471413502,9.47164397908651e-05,8.97120396665657e-09,9.47164397908651e-05,8.83943356217381e-05,4.73582198954325e-05,5.15742725964996e-06,0.000345258863142739,0,0,-0.7875,0.7875,1.66830925348305e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,77,78,1,78,1.17533808193104,1.17533863266321,5.50732173199009e-07,3.03305926596503e-13,5.50732173199009e-07,3.48231594625591e-07,2.75366086599504e-07,1.95874617431313e-07,1.09580147178434e-06,0,0,-0.7875,0.7875,5.30169054380192e-07
